apa	conc	time
0.062	1	1
0.517	1	1
0.261	1	1
0.154	1	1
0.071	2	1
0.472	2	1
0.903	2	1
0.565	2	1
0.068	3	1
0.474	3	1
0.063	3	1
0.059	3	1
0.066	4	1
0.670	4	1
0.076	4	1
0.080	4	1
0.055	1	2
0.054	1	2
0.056	1	2
0.063	1	2
0.055	2	2
0.060	2	2
0.057	2	2
0.056	2	2
0.059	3	2
0.070	3	2
0.090	3	2
0.064	3	2
0.447	4	2
0.091	4	2
0.079	4	2
0.071	4	2
0.055	1	3
0.059	1	3
0.062	1	3
0.062	1	3
0.067	2	3
1.234	2	3
1.086	2	3
0.188	2	3
0.092	3	3
0.096	3	3
0.123	3	3
0.091	3	3
0.086	4	3
0.076	4	3
0.082	4	3
0.080	4	3
1.028	1	4
1.067	1	4
1.128	1	4
0.855	1	4
0.075	2	4
0.076	2	4
0.090	2	4
1.209	2	4
0.091	3	4
0.218	3	4
0.618	3	4
0.093	3	4
0.248	4	4
0.094	4	4
0.215	4	4
0.401	4	4
0.607	1	5
0.104	1	5
0.163	1	5
0.109	1	5
0.068	2	5
0.143	2	5
0.108	2	5
0.075	2	5
0.098	3	5
0.122	3	5
0.837	3	5
0.142	3	5
0.108	4	5
0.105	4	5
0.093	4	5
0.580	4	5
0.067	1	6
0.093	1	6
0.165	1	6
0.076	1	6
0.347	2	6
0.106	2	6
0.170	2	6
0.097	2	6
0.115	3	6
0.085	3	6
0.076	3	6
0.085	3	6
0.290	4	6
0.090	4	6
0.518	4	6
0.071	4	6
